sentence,drug,drug_start,drug_end,effect,effect_start,effect_end
"DATA SYNTHESIS: Genetic deficiencies in DPD, the rate-limiting enzyme responsible for 5-FU catabolism, may occur in 3% or more of patients with cancer putting them at increased risk for unusually severe adverse reactions (e.g., diarrhea, stomatitis, mucositis, myelosuppression, neurotoxicity) to standard doses of 5-FU.",5-FU,86,90,myelosuppression,261,277
"DATA SYNTHESIS: Genetic deficiencies in DPD, the rate-limiting enzyme responsible for 5-FU catabolism, may occur in 3% or more of patients with cancer putting them at increased risk for unusually severe adverse reactions (e.g., diarrhea, stomatitis, mucositis, myelosuppression, neurotoxicity) to standard doses of 5-FU.",5-FU,86,90,neurotoxicity,279,292
"DATA SYNTHESIS: Genetic deficiencies in DPD, the rate-limiting enzyme responsible for 5-FU catabolism, may occur in 3% or more of patients with cancer putting them at increased risk for unusually severe adverse reactions (e.g., diarrhea, stomatitis, mucositis, myelosuppression, neurotoxicity) to standard doses of 5-FU.",5-FU,86,90,neurotoxicity,279,292
"DATA SYNTHESIS: Genetic deficiencies in DPD, the rate-limiting enzyme responsible for 5-FU catabolism, may occur in 3% or more of patients with cancer putting them at increased risk for unusually severe adverse reactions (e.g., diarrhea, stomatitis, mucositis, myelosuppression, neurotoxicity) to standard doses of 5-FU.",5-FU,86,90,stomatitis,238,248
"DATA SYNTHESIS: Genetic deficiencies in DPD, the rate-limiting enzyme responsible for 5-FU catabolism, may occur in 3% or more of patients with cancer putting them at increased risk for unusually severe adverse reactions (e.g., diarrhea, stomatitis, mucositis, myelosuppression, neurotoxicity) to standard doses of 5-FU.",5-FU,86,90,stomatitis,238,248
Dihydropyrimidine dehydrogenase deficiency: a pharmacogenetic defect causing severe adverse reactions to 5-fluorouracil-based chemotherapy.,5-fluorouracil,105,119,severe adverse reactions,77,101
"PURPOSE/OBJECTIVES: To describe the pharmacogenetic syndrome of dihydropyrimidine dehydrogenase (DPD) deficiency, which predisposes patients with cancer to potentially lethal adverse reactions following 5-fluorouracil (5-FU)-based chemotherapy.",5-fluorouracil,203,217,lethal adverse reactions,168,192
"PURPOSE/OBJECTIVES: To describe the pharmacogenetic syndrome of dihydropyrimidine dehydrogenase (DPD) deficiency, which predisposes patients with cancer to potentially lethal adverse reactions following 5-fluorouracil (5-FU)-based chemotherapy.",5-FU,219,223,lethal adverse reactions,168,192
"The principle treatment for DPD-deficient patients with severe acute 5-FU reactions is supportive care; however, the administration of thymidine potentially may reverse severe 5-FU-induced neurologic symptoms such as encephalopathy and coma.",5-FU,69,73,coma,236,240
"The principle treatment for DPD-deficient patients with severe acute 5-FU reactions is supportive care; however, the administration of thymidine potentially may reverse severe 5-FU-induced neurologic symptoms such as encephalopathy and coma.",5-FU,69,73,coma,236,240
"The principle treatment for DPD-deficient patients with severe acute 5-FU reactions is supportive care; however, the administration of thymidine potentially may reverse severe 5-FU-induced neurologic symptoms such as encephalopathy and coma.",5-FU,69,73,encephalopathy,217,231
"The principle treatment for DPD-deficient patients with severe acute 5-FU reactions is supportive care; however, the administration of thymidine potentially may reverse severe 5-FU-induced neurologic symptoms such as encephalopathy and coma.",5-FU,69,73,encephalopathy,217,231
"The principle treatment for DPD-deficient patients with severe acute 5-FU reactions is supportive care; however, the administration of thymidine potentially may reverse severe 5-FU-induced neurologic symptoms such as encephalopathy and coma.",5-FU,69,73,neurologic symptoms,189,208
"The principle treatment for DPD-deficient patients with severe acute 5-FU reactions is supportive care; however, the administration of thymidine potentially may reverse severe 5-FU-induced neurologic symptoms such as encephalopathy and coma.",5-FU,69,73,neurologic symptoms,189,208
"The principle treatment for DPD-deficient patients with severe acute 5-FU reactions is supportive care; however, the administration of thymidine potentially may reverse severe 5-FU-induced neurologic symptoms such as encephalopathy and coma.",5-FU,69,73,severe acute 5-FU reactions,56,83
"The principle treatment for DPD-deficient patients with severe acute 5-FU reactions is supportive care; however, the administration of thymidine potentially may reverse severe 5-FU-induced neurologic symptoms such as encephalopathy and coma.",5-FU,69,73,severe acute 5-FU reactions,56,83
A 49-year-old man with Crohn's disease treated with prednisone and mesalamine (5-ASA) developed worsening respiratory distress and fever.,5-ASA,79,84,fever,131,136
A 49-year-old man with Crohn's disease treated with prednisone and mesalamine (5-ASA) developed worsening respiratory distress and fever.,mesalamine,67,77,fever,131,136
A 49-year-old man with Crohn's disease treated with prednisone and mesalamine (5-ASA) developed worsening respiratory distress and fever.,prednisone,52,62,fever,131,136
A 49-year-old man with Crohn's disease treated with prednisone and mesalamine (5-ASA) developed worsening respiratory distress and fever.,5-ASA,79,84,worsening respiratory distress,96,126
A 49-year-old man with Crohn's disease treated with prednisone and mesalamine (5-ASA) developed worsening respiratory distress and fever.,mesalamine,67,77,worsening respiratory distress,96,126
A 49-year-old man with Crohn's disease treated with prednisone and mesalamine (5-ASA) developed worsening respiratory distress and fever.,prednisone,52,62,worsening respiratory distress,96,126
Mesalamine-induced hypersensitivity pneumonitis.,Mesalamine,0,10,hypersensitivity pneumonitis,19,47
Mesalamine may cause hypersensitivity pneumonitis in patients with Crohn's disease.,Mesalamine,0,10,hypersensitivity pneumonitis,21,49
Immunosuppression elicited by the extensive administration of prednisolone was suspected for the initiation of the generalized mite infestation.,prednisolone,62,74,mite infestation,127,143
BACKGROUND: Colchicine has a known adverse effect on wound healing through its inhibitory effect on tubulin-dependent cell functions and through collagenase activation.,Colchicine,12,22,adverse effect on wound healing,35,66
BACKGROUND: Colchicine has a known adverse effect on wound healing through its inhibitory effect on tubulin-dependent cell functions and through collagenase activation.,Colchicine,12,22,collagenase activation,145,167
CONCLUSION: The findings in these two patients suggest that colchicine may delay corneal wound healing.,colchicine,60,70,delay corneal wound healing,75,102
Delay of corneal wound healing in patients treated with colchicine.,colchicine,56,66,Delay of corneal wound healing,0,30
The authors report on two patients with corneal ulcers refractory to conventional treatment while the patients were undergoing oral colchicine therapy.,colchicine,132,142,corneal ulcers refractory to conventional treatment,40,91
"The authors suggest that in patients with corneal ulcers refractory to conventional treatment who are receiving colchicine, cessation of colchicine therapy should be considered.",colchicine,112,122,corneal ulcers refractory to conventional treatment,42,93
Fulminant hepatic failure associated with bicalutamide.,bicalutamide,42,54,Fulminant hepatic failure,0,25
A 17-year-old female patient who had been taking oral minocycline (50 mg twice daily) for 3 weeks for acne developed an eruption that progressed to an exfoliative dermatitis.,minocycline,54,65,eruption,120,128
A 17-year-old female patient who had been taking oral minocycline (50 mg twice daily) for 3 weeks for acne developed an eruption that progressed to an exfoliative dermatitis.,minocycline,54,65,exfoliative dermatitis,151,173
"Fever, lymphadenopathy, eosinophilia, lymphocytosis, hepatitis, and dermatitis: a severe adverse reaction to minocycline.",minocycline,109,120,dermatitis,68,78
"Fever, lymphadenopathy, eosinophilia, lymphocytosis, hepatitis, and dermatitis: a severe adverse reaction to minocycline.",minocycline,109,120,eosinophilia,24,36
"Fever, lymphadenopathy, eosinophilia, lymphocytosis, hepatitis, and dermatitis: a severe adverse reaction to minocycline.",minocycline,109,120,Fever,0,5
"Fever, lymphadenopathy, eosinophilia, lymphocytosis, hepatitis, and dermatitis: a severe adverse reaction to minocycline.",minocycline,109,120,hepatitis,53,62
"Fever, lymphadenopathy, eosinophilia, lymphocytosis, hepatitis, and dermatitis: a severe adverse reaction to minocycline.",minocycline,109,120,lymphadenopathy,7,22
"Fever, lymphadenopathy, eosinophilia, lymphocytosis, hepatitis, and dermatitis: a severe adverse reaction to minocycline.",minocycline,109,120,lymphocytosis,38,51
"This severe illness was likely caused by minocycline, and we speculate that minocycline may have acted as a superantigen, causing lymphocyte over-activation and massive cytokine release.",minocycline,41,52,lymphocyte over-activation,130,156
"This severe illness was likely caused by minocycline, and we speculate that minocycline may have acted as a superantigen, causing lymphocyte over-activation and massive cytokine release.",minocycline,41,52,massive cytokine release,161,185
"This severe illness was likely caused by minocycline, and we speculate that minocycline may have acted as a superantigen, causing lymphocyte over-activation and massive cytokine release.",minocycline,41,52,severe illness,5,19
Delayed hypersensitivity to flurbiprofen.,flurbiprofen,28,40,Delayed hypersensitivity,0,24
Eye movement disorders in bone marrow transplant patients on cyclosporin and ganciclovir.,cyclosporin,61,72,Eye movement disorders,0,22
Eye movement disorders in bone marrow transplant patients on cyclosporin and ganciclovir.,ganciclovir,77,88,Eye movement disorders,0,22
One patient had MRI T2 abnormalities compatible with cyclosporin neurotoxicity.,cyclosporin,53,64,MRI T2 abnormalities,16,36
One patient had MRI T2 abnormalities compatible with cyclosporin neurotoxicity.,cyclosporin,53,64,neurotoxicity,65,78
"We postulate that cyclosporin, possibly together with ganciclovir, can produce transient brain stem or neuromuscular dysfunction with eye movement abnormality in occasional patients.",cyclosporin,18,29,eye movement abnormality,134,158
"We postulate that cyclosporin, possibly together with ganciclovir, can produce transient brain stem or neuromuscular dysfunction with eye movement abnormality in occasional patients.",ganciclovir,54,65,eye movement abnormality,134,158
"We postulate that cyclosporin, possibly together with ganciclovir, can produce transient brain stem or neuromuscular dysfunction with eye movement abnormality in occasional patients.",cyclosporin,18,29,transient brain stem or neuromuscular dysfunction,79,128
"We postulate that cyclosporin, possibly together with ganciclovir, can produce transient brain stem or neuromuscular dysfunction with eye movement abnormality in occasional patients.",ganciclovir,54,65,transient brain stem or neuromuscular dysfunction,79,128
"CONCLUSION: While thrombosis has been reported with GnRH-a therapy in men with prostate cancer, its association with treatment in this benign case may have been a consequence of the massive tumor size.",GnRH-a,52,58,thrombosis,18,28
"The possible effects of tamoxifen upon the uterus are discussed in this article, in view of reports of tamoxifen associated with endometrial carcinoma and endometriosis.",tamoxifen,24,33,endometrial carcinoma,129,150
"The possible effects of tamoxifen upon the uterus are discussed in this article, in view of reports of tamoxifen associated with endometrial carcinoma and endometriosis.",tamoxifen,24,33,endometriosis,155,168
Case study: adverse response to clonidine.,clonidine,32,41,adverse response,12,28
Four cases of adverse experiences with clonidine are described.,clonidine,39,48,adverse experiences,14,33
In one instance a systemic hypoglycemic reaction resulting in head trauma and confusion ended in an emegency hospital admission following the substitution of acetohexamide for acetazolamide.,acetohexamide,158,171,confusion,78,87
In one instance a systemic hypoglycemic reaction resulting in head trauma and confusion ended in an emegency hospital admission following the substitution of acetohexamide for acetazolamide.,acetohexamide,158,171,head trauma,62,73
In one instance a systemic hypoglycemic reaction resulting in head trauma and confusion ended in an emegency hospital admission following the substitution of acetohexamide for acetazolamide.,acetohexamide,158,171,systemic hypoglycemic reaction,18,48
Discontinuation of the itraconazole caused resolution of the drug eruption.,itraconazole,23,35,drug eruption,61,74
Primary cutaneous coccidioidomycosis and subsequent drug eruption to itraconazole in a dog.,itraconazole,69,81,drug eruption,52,65
Primary cutaneous coccidioidomycosis and subsequent drug eruption to itraconazole in a dog.,itraconazole,69,81,Primary cutaneous coccidioidomycosis,0,36
"Its overall toxicity is considerably less compared to standard induction chemotherapy; however, it is associated with a high incidence of a potentially fatal symptom complex referred to as ""retinoic acid syndrome."" This report describes a patient with APL who developed the syndrome a few weeks after initiating induction therapy with ATRA despite being treated for hyperleukocytosis.",retinoic acid,190,203,potentially fatal symptom,140,165
"Its overall toxicity is considerably less compared to standard induction chemotherapy; however, it is associated with a high incidence of a potentially fatal symptom complex referred to as ""retinoic acid syndrome."" This report describes a patient with APL who developed the syndrome a few weeks after initiating induction therapy with ATRA despite being treated for hyperleukocytosis.",retinoic acid,190,203,retinoic acid syndrome,190,212
"Its overall toxicity is considerably less compared to standard induction chemotherapy; however, it is associated with a high incidence of a potentially fatal symptom complex referred to as ""retinoic acid syndrome."" This report describes a patient with APL who developed the syndrome a few weeks after initiating induction therapy with ATRA despite being treated for hyperleukocytosis.",retinoic acid,190,203,toxicity,12,20
"Eleven days after initiation of therapy with amiodarone, the patient experienced syncope and was noted to have recurrent episodes of polymorphous ventricular tachycardia.",amiodarone,45,55,polymorphous ventricular tachycardia,133,169
"Eleven days after initiation of therapy with amiodarone, the patient experienced syncope and was noted to have recurrent episodes of polymorphous ventricular tachycardia.",amiodarone,45,55,syncope,81,88
Nonsustained polymorphous ventricular tachycardia during amiodarone therapy for atrial fibrillation complicating cardiomyopathy.,amiodarone,57,67,Nonsustained polymorphous ventricular tachycardia,0,49
"The probable proarrhythmic action of amiodarone, although rare, is reviewed along with a discussion of the novel use of intravenous magnesium sulfate therapy.",amiodarone,37,47,proarrhythmic,13,26
Acute asthma associated with sustained-release verapamil.,verapamil,47,56,Acute asthma,0,12
"Although dyspnea associated with verapamil administration has been reported, this is the first report of an elderly asymptomatic asthmatic patient with hypertension who developed an acute asthma attack following sustained-release verapamil administration.",verapamil,33,42,acute asthma,182,194
"Although dyspnea associated with verapamil administration has been reported, this is the first report of an elderly asymptomatic asthmatic patient with hypertension who developed an acute asthma attack following sustained-release verapamil administration.",verapamil,33,42,dyspnea,9,16
CONCLUSIONS: Sustained-release verapamil is thought to be the cause of the asthma attack in this patient because she was not taking any other preparations; the symptoms started with the administration of sustained-release verapamil and were relieved after its discontinuation.,verapamil,31,40,asthma attack,75,88
CONCLUSIONS: Sustained-release verapamil is thought to be the cause of the asthma attack in this patient because she was not taking any other preparations; the symptoms started with the administration of sustained-release verapamil and were relieved after its discontinuation.,verapamil,31,40,asthma attack,75,88
OBJECTIVE: To describe a patient with asymptomatic bronchial asthma and hypertension who developed an acute asthma attack after receiving sustained-release verapamil.,verapamil,156,165,acute asthma,102,114
"She continued taking verapamil for 6 months, then, on her own, stopped all medications including the sustained-release verapamil, and her asthma symptoms disappeared.",verapamil,21,30,asthma,138,144
Cephalexin rash in infectious mononucleosis.,Cephalexin,0,10,Cephalexin rash,0,15
The ampicillin rash occurring in cases of infectious mononucleosis is well documented.,ampicillin,4,14,ampicillin rash,4,19
The case of a patient with infectious mononucleosis treated with cephalexin who later showed a rash is presented and the previous literature is reviewed.,cephalexin,65,75,rash,95,99
"The rash seen in this patient, who was treated with cephalexin, may be similar to the rash seen with ampicillin treatment of patients with infectious mononucleosis.",cephalexin,52,62,rash,4,8
"The rash seen in this patient, who was treated with cephalexin, may be similar to the rash seen with ampicillin treatment of patients with infectious mononucleosis.",ampicillin,101,111,rash,4,8
A possible case of carbamazepine induced pancreatitis.,carbamazepine,19,32,pancreatitis,41,53
"The authors report a case of acute pancreatitis (AP) occurring in a patient under treatment with carbamazepine (CBZ) for post-traumatic petit mal epilepsy, and review the current literature of drug-induced AP.",carbamazepine,97,110,pancreatitis,35,47
"The authors report a case of acute pancreatitis (AP) occurring in a patient under treatment with carbamazepine (CBZ) for post-traumatic petit mal epilepsy, and review the current literature of drug-induced AP.",CBZ,112,115,pancreatitis,35,47
The evidence of high plasmatic levels of CBZ and the absence of other aetiologic factors lead the authors to conclude that the overdose of CBZ could have represented the precipitating of the episode of acute pancreatitis.,CBZ,41,44,acute pancreatitis,202,220
The evidence of high plasmatic levels of CBZ and the absence of other aetiologic factors lead the authors to conclude that the overdose of CBZ could have represented the precipitating of the episode of acute pancreatitis.,CBZ,41,44,acute pancreatitis,202,220
"Although risk factors for MTX-induced pulmonary toxicity are poorly understood, the presence in 3 out of 5 of our patients of pre-existing lung disease, represented by diffuse interstitial changes on chest X-ray, and mild bronchial asthma in two RA patients and by pulmonary silicosis in the patient with PsA may account for a predisposition to the development of MTX pneumonitis.",MTX,26,29,pneumonitis,368,379
"Although risk factors for MTX-induced pulmonary toxicity are poorly understood, the presence in 3 out of 5 of our patients of pre-existing lung disease, represented by diffuse interstitial changes on chest X-ray, and mild bronchial asthma in two RA patients and by pulmonary silicosis in the patient with PsA may account for a predisposition to the development of MTX pneumonitis.",MTX,26,29,pulmonary toxicity,38,56
Methotrexate-induced pneumonitis in patients with rheumatoid arthritis and psoriatic arthritis: report of five cases and review of the literature.,Methotrexate,0,12,pneumonitis,21,32
"On the other hand, MTX-induced pneumonitis seems to be very rare in psoriatic arthritis (PsA).",MTX,19,22,pneumonitis,31,42
"Our review of 194 RA patients and 38 PsA patients receiving MTX has identified four RA patients and one PsA patient with MTX-induced pneumonitis, giving a prevalence of 2.1% and 0.03%, respectively.",MTX,60,63,pneumonitis,133,144
"Pneumonitis is emerging as one of the most unpredictable and potentially serious, adverse effects of treatment with MTX.",MTX,116,119,Pneumonitis,0,11
The presence of a lymphocyte alveolitis with a predominance of CD4+ T cells in 3 RA patients and CD8+ T cells with a concomitant increase in neutrophils in another case suggests that immunologically mediated reactions may be one damage mechanism in MTX-induced pneumonitis.,MTX,249,252,pneumonitis,261,272
"A retrospective epidemiological study of deaths from hepatic angiosarcoma (HAS) in the U.S. showed that during 1964--74 there were 168 such cases, of which 37 (22%) were associated with previously known causes (vinyl chloride, 'Thorotrast', and inorganic arsenic) and 4 (3.1%) of the remaining 131 cases with the use of androgenic-anabolic steroids.",inorganic arsenic,245,262,hepatic angiosarcoma,53,73
"A retrospective epidemiological study of deaths from hepatic angiosarcoma (HAS) in the U.S. showed that during 1964--74 there were 168 such cases, of which 37 (22%) were associated with previously known causes (vinyl chloride, 'Thorotrast', and inorganic arsenic) and 4 (3.1%) of the remaining 131 cases with the use of androgenic-anabolic steroids.",Thorotrast,228,238,hepatic angiosarcoma,53,73
"A retrospective epidemiological study of deaths from hepatic angiosarcoma (HAS) in the U.S. showed that during 1964--74 there were 168 such cases, of which 37 (22%) were associated with previously known causes (vinyl chloride, 'Thorotrast', and inorganic arsenic) and 4 (3.1%) of the remaining 131 cases with the use of androgenic-anabolic steroids.",vinyl chloride,211,225,hepatic angiosarcoma,53,73
Recent studies have shown that under experimental conditions ferrous sulfate may reduce the gastrointestinal absorption of orally administered levothyroxine sodium in patients with primary hypothyroidism.,ferrous sulfate,61,76,reduce the gastrointestinal absorption of orally administered levothyroxine sodium,81,163
We describe a patient who became hypothyroid while taking ferrous sulfate.,ferrous sulfate,58,73,hypothyroid,33,44
"However, as the use of hepatitis B vaccination is growing, adverse side effects, including mental nerve neuropathy, should be observed with an increased frequency.",hepatitis B vaccination,23,46,mental nerve neuropathy,91,114
Mental nerve neuropathy as a result of hepatitis B vaccination.,hepatitis B vaccination,39,62,Mental nerve neuropathy,0,23
"Although its side effects are few, tamoxifen increases the incidence of proliferative lesions of the endometrium, which theoretically should be preventable with progestational agents.",tamoxifen,35,44,proliferative lesions of the endometrium,72,112
CASES: Two postmenopausal women treated with tamoxifen and progestational agents for breast carcinoma developed uterine enlargement and intermittent spotting.,tamoxifen,45,54,intermittent spotting,136,157
CASES: Two postmenopausal women treated with tamoxifen and progestational agents for breast carcinoma developed uterine enlargement and intermittent spotting.,tamoxifen,45,54,uterine enlargement,112,131
"CONCLUSIONS: The value of multihormonal therapy in breast carcinoma is not established, and the addition of progestogens to tamoxifen may not reduce of developing endometrial lesions, including carcinoma.",tamoxifen,124,133,carcinoma,58,67
"CONCLUSIONS: The value of multihormonal therapy in breast carcinoma is not established, and the addition of progestogens to tamoxifen may not reduce of developing endometrial lesions, including carcinoma.",tamoxifen,124,133,endometrial lesions,163,182
Bleomycin and cyclophosphamide toxicity simulating metastatic nodules to the lungs in childhood cancer.,Bleomycin,0,9,metastatic nodules,51,69
Bleomycin and cyclophosphamide toxicity simulating metastatic nodules to the lungs in childhood cancer.,cyclophosphamide,14,30,metastatic nodules,51,69
Thoracoscopic biopsy to confirm metastasis revealed instead fibrotic lesions apparently attributable to bleomycin or cyclophosphamide.,bleomycin,104,113,fibrotic lesions,60,76
Thoracoscopic biopsy to confirm metastasis revealed instead fibrotic lesions apparently attributable to bleomycin or cyclophosphamide.,cyclophosphamide,117,133,fibrotic lesions,60,76
An elderly man with procainamide hydrochloride-induced lupus syndrome had a circulating anticoagulant against factor XI and a biologic false-positive (BFP) test result for syphilis.,procainamide hydrochloride,20,46,lupus syndrome,55,69
Circulating anticoagulant in the procainamide-induced lupus syndrome.,procainamide,33,45,lupus syndrome,54,68
Clinical signs of hypermagnesemia are an uncommon complication following oral administration of magnesium sulfate.,magnesium sulfate,96,113,hypermagnesemia,18,33
Establishment of diuresis with fluids and IV administration of calcium may provide successful treatment of magnesium toxicosis in horses.,magnesium,107,116,magnesium toxicosis,107,126
Magnesium toxicosis in two horses.,Magnesium,0,9,Magnesium toxicosis,0,19
"Overdose of magnesium sulfate in combination with renal insufficiency, hypocalcemia, or compromise of intestinal integrity may predispose horses to magnesium toxicosis.",magnesium,12,21,magnesium toxicosis,148,167
"Overdose of magnesium sulfate in combination with renal insufficiency, hypocalcemia, or compromise of intestinal integrity may predispose horses to magnesium toxicosis.",magnesium sulfate,12,29,magnesium toxicosis,148,167
"CASE SUMMARIES: In each case, the patients were treated over 5 years with lovastatin and developed rhabdomyolysis that coincided with the completion of a prescribed regimen of a newer macrolide antibiotic.",lovastatin,74,84,rhabdomyolysis,99,113
CONCLUSIONS: The risk of drug-induced rhabdomyolysis due to the potential interaction between lovastatin and azithromycin or clarithromycin should be considered before the concomitant use of these agents.,azithromycin,109,121,rhabdomyolysis,38,52
CONCLUSIONS: The risk of drug-induced rhabdomyolysis due to the potential interaction between lovastatin and azithromycin or clarithromycin should be considered before the concomitant use of these agents.,clarithromycin,125,139,rhabdomyolysis,38,52
CONCLUSIONS: The risk of drug-induced rhabdomyolysis due to the potential interaction between lovastatin and azithromycin or clarithromycin should be considered before the concomitant use of these agents.,lovastatin,94,104,rhabdomyolysis,38,52
"DISCUSSION: Rhabdomyolysis is a clinical syndrome resulting from the destruction of skeletal muscle that may progress to renal failure Several drugs have been associated with rhabdomyolysis, including lovastatin, a hydroxymethylglutaryl-coenzyme A reductase inhibitor.",lovastatin,201,211,rhabdomyolysis,175,189
Erythromycin is a macrolide antibiotic that may increase the risk of lovastatin-induced rhabdomyolysis.,Erythromycin,0,12,rhabdomyolysis,88,102
Erythromycin is a macrolide antibiotic that may increase the risk of lovastatin-induced rhabdomyolysis.,lovastatin,69,79,rhabdomyolysis,88,102
Lovastatin-induced rhabdomyolysis possibly associated with clarithromycin and azithromycin.,azithromycin,78,90,rhabdomyolysis,19,33
Lovastatin-induced rhabdomyolysis possibly associated with clarithromycin and azithromycin.,clarithromycin,59,73,rhabdomyolysis,19,33
Lovastatin-induced rhabdomyolysis possibly associated with clarithromycin and azithromycin.,Lovastatin,0,10,rhabdomyolysis,19,33
OBJECTIVE: To describe two cases of rhabdomyolysis in patients taking lovastatin that were precipitated by the use of the newer macrolide antibiotics clarithromycin and azithromycin.,azithromycin,169,181,rhabdomyolysis,36,50
OBJECTIVE: To describe two cases of rhabdomyolysis in patients taking lovastatin that were precipitated by the use of the newer macrolide antibiotics clarithromycin and azithromycin.,clarithromycin,150,164,rhabdomyolysis,36,50
OBJECTIVE: To describe two cases of rhabdomyolysis in patients taking lovastatin that were precipitated by the use of the newer macrolide antibiotics clarithromycin and azithromycin.,lovastatin,70,80,rhabdomyolysis,36,50
"To our knowledge, these cases are the first published reports of lovastatin-induced rhabdomyolysis associated with azithromycin and clarithromycin.",azithromycin,115,127,rhabdomyolysis,84,98
"To our knowledge, these cases are the first published reports of lovastatin-induced rhabdomyolysis associated with azithromycin and clarithromycin.",clarithromycin,132,146,rhabdomyolysis,84,98
"To our knowledge, these cases are the first published reports of lovastatin-induced rhabdomyolysis associated with azithromycin and clarithromycin.",lovastatin,65,75,rhabdomyolysis,84,98
These cases were considered unusual in light of the short delay of their onset after initiation of immunosuppressive therapy and their fulminant course: 3 of these patients died of PCP occurring during the first month of treatment with prednisone.,prednisone,236,246,died,173,177
"We report the specifics of 12 cases of severe hypertension after the intraoperative use of topical phenylephrine, submucosal epinephrine, or both.",epinephrine,125,136,severe hypertension,39,58
"We report the specifics of 12 cases of severe hypertension after the intraoperative use of topical phenylephrine, submucosal epinephrine, or both.",phenylephrine,99,112,severe hypertension,39,58
Acute leukaemia during tamoxifen therapy.,tamoxifen,23,32,Acute leukaemia,0,15
Tamoxifen is suggested to be carcinogenic both through direct genotoxic and epigenetic mechanisms.,Tamoxifen,0,9,carcinogenic,29,41
We report two cases that developed acute myeloid leukaemia (AML) during tamoxifen therapy for breast cancer.,tamoxifen,72,81,acute myeloid leukaemia,35,58
We report two cases that developed acute myeloid leukaemia (AML) during tamoxifen therapy for breast cancer.,tamoxifen,72,81,AML,60,63
Relapse in the external auditory canal of acute promyelocytic leukemia after treatment with all-trans retinoic acid.,all-trans retinoic acid,92,115,Relapse in the external auditory canal of acute promyelocytic leukemia,0,70
This case suggests the importance of careful observation for extramedullary relapse in patients who are treated with ATRA.,ATRA,117,121,extramedullary relapse,61,83
Cutaneous reactions to propylthiouracil and methimazole occur in 3%-5% of adults.,methimazole,44,55,Cutaneous reactions,0,19
Cutaneous reactions to propylthiouracil and methimazole occur in 3%-5% of adults.,propylthiouracil,23,39,Cutaneous reactions,0,19
Generalized maculopapular and papular purpuric eruptions are perhaps the most common thionamide-induced reactions.,thionamide,85,95,Generalized maculopapular and papular purpuric eruptions,0,56
Propylthiouracil-induced cutaneous vasculitis.,Propylthiouracil,0,16,cutaneous vasculitis,25,45
The observation of cutaneous vasculitis during administration of propylthiouracil suggested that clinical awareness of this complication should be of considerable importance.,propylthiouracil,65,81,cutaneous vasculitis,19,39
A 2-year-old mentally retarded boy with frontal lobe epilepsy presented with an episode that resembled heat stroke during the administration of zonisamide.,zonisamide,144,154,heat stroke,103,114
Children receiving zonisamide should be monitored for oligohidrosis and the development of neurological symptoms associated with an elevation of body temperature.,zonisamide,19,29,neurological symptoms,91,112
Children receiving zonisamide should be monitored for oligohidrosis and the development of neurological symptoms associated with an elevation of body temperature.,zonisamide,19,29,oligohidrosis,54,67
Heat stroke-like episode in a child caused by zonisamide.,zonisamide,46,56,Heat stroke-like episode,0,24
The oligohidrosis caused by zonisamide was reversible in that the patient regained the ability to sweat within 2 weeks of the cessation of drug administration.,zonisamide,28,38,oligohidrosis,4,17
Acute renal failure in a patient receiving treatment with suramin.,suramin,58,65,Acute renal failure,0,19
Acute renal failure should be recognized as a potential complication of suramin treatment.,suramin,72,79,renal failure,6,19
Other potential causes of renal failure were not present in our patient and his renal function gradually recovered with the cessation of suramin treatment.,suramin,137,144,renal failure,26,39
We describe a patient with metastatic prostate cancer who developed nonoliguric renal failure during treatment with suramin.,suramin,116,123,nonoliguric renal failure,68,93
Clozapine induced polyserositis.,Clozapine,0,9,polyserositis,18,31
"We report the case of a patient who developed polyserositis (pericardial effusion, pleural effusion, and pericarditis) after being started on clozapine, and whose symptoms remitted upon discontinuation of clozapine.",clozapine,142,151,pericardial effusion,61,81
"We report the case of a patient who developed polyserositis (pericardial effusion, pleural effusion, and pericarditis) after being started on clozapine, and whose symptoms remitted upon discontinuation of clozapine.",clozapine,142,151,pericardial effusion,61,81
"We report the case of a patient who developed polyserositis (pericardial effusion, pleural effusion, and pericarditis) after being started on clozapine, and whose symptoms remitted upon discontinuation of clozapine.",clozapine,142,151,pericarditis,105,117
"We report the case of a patient who developed polyserositis (pericardial effusion, pleural effusion, and pericarditis) after being started on clozapine, and whose symptoms remitted upon discontinuation of clozapine.",clozapine,142,151,pericarditis,105,117
"We report the case of a patient who developed polyserositis (pericardial effusion, pleural effusion, and pericarditis) after being started on clozapine, and whose symptoms remitted upon discontinuation of clozapine.",clozapine,142,151,pleural effusion,83,99
"We report the case of a patient who developed polyserositis (pericardial effusion, pleural effusion, and pericarditis) after being started on clozapine, and whose symptoms remitted upon discontinuation of clozapine.",clozapine,142,151,pleural effusion,83,99
"We report the case of a patient who developed polyserositis (pericardial effusion, pleural effusion, and pericarditis) after being started on clozapine, and whose symptoms remitted upon discontinuation of clozapine.",clozapine,142,151,polyserositis,46,59
"We report the case of a patient who developed polyserositis (pericardial effusion, pleural effusion, and pericarditis) after being started on clozapine, and whose symptoms remitted upon discontinuation of clozapine.",clozapine,142,151,polyserositis,46,59
"When the disease recurred conventional amphotericin B was used again, but had to be stopped because of severe side effects.",amphotericin B,39,53,severe side effects,103,122
